Date,Open,High,Low,Close,Adj Close,Volume
25-07-2014,1297,1307.175049,1283.5,1302.875,1123.93689,1806914
28-07-2014,1288.574951,1299.824951,1277.5,1294.650024,1134.253418,1314922
30-07-2014,1292.400024,1305,1286.300049,1297.525024,1136.771851,1899252
31-07-2014,1287.550049,1299,1284.625,1290.025024,1130.20105,2407210
01-08-2014,1287.5,1293.974976,1255,1258.199951,1102.318359,2381882
04-08-2014,1266,1270.949951,1244,1263.025024,1106.546143,1828636
05-08-2014,1272.449951,1272.5,1245.050049,1261.849976,1105.516968,1404656
06-08-2014,1258.074951,1267.425049,1245.125,1253.324951,1098.047974,1837562
07-08-2014,1245,1247.5,1229.525024,1234.900024,1081.905884,1672656
08-08-2014,1232.5,1253.849976,1232.5,1239.349976,1085.804199,1464790
11-08-2014,1245.449951,1247.775024,1227.5,1234.199951,1081.292236,1290896
12-08-2014,1244.949951,1244.949951,1220.099976,1235.875,1082.76001,984552
13-08-2014,1235,1265,1235,1250.025024,1095.157104,2768378
14-08-2014,1257,1266,1245.025024,1249.875,1095.025513,1578056
18-08-2014,1245.525024,1252.5,1235,1243.800049,1089.703003,1373260
19-08-2014,1250,1252.449951,1217.5,1219.25,1068.194702,3234156
20-08-2014,1222.25,1227.525024,1215.025024,1218.099976,1067.186768,2056758
21-08-2014,1223.5,1230,1215,1216.224976,1065.544067,2265450
22-08-2014,1222,1234.099976,1217.900024,1232.099976,1079.452148,3096238
25-08-2014,1235,1264.25,1233.449951,1261.025024,1104.793945,3143512
26-08-2014,1264.5,1275,1250,1266.900024,1109.941162,1815490
27-08-2014,1267,1283.699951,1257.025024,1274.974976,1117.015381,1435460
28-08-2014,1273.5,1274.650024,1256.5,1261.175049,1104.925659,1766288
01-09-2014,1262.699951,1280,1261.525024,1268.574951,1111.408203,810148
02-09-2014,1272.900024,1277.400024,1257.050049,1268.949951,1111.737061,1407940
03-09-2014,1269.5,1308,1269.5,1303.199951,1141.743774,3061690
04-09-2014,1311,1313.724976,1288.724976,1292.375,1132.259766,1701598
05-09-2014,1299.949951,1310.900024,1291.525024,1299.300049,1138.327515,1467060
08-09-2014,1306,1325,1299.525024,1321.349976,1157.645264,1697342
09-09-2014,1326,1333.5,1312.550049,1315.625,1152.629761,1418098
10-09-2014,1319,1321.375,1295.599976,1300.074951,1139.006104,1258768
11-09-2014,1305,1312.199951,1295.75,1299.175049,1138.217896,1075622
12-09-2014,1305,1312.175049,1296.599976,1303.800049,1142.269775,1196210
15-09-2014,1307,1309.300049,1277,1279.150024,1120.673462,1151544
16-09-2014,1283,1287.5,1272,1275.425049,1117.410034,1535608
17-09-2014,1280.5,1302.375,1280.5,1295.599976,1135.085571,1657700
18-09-2014,1295.849976,1325.900024,1290.5,1321.150024,1157.469971,1483078
19-09-2014,1321.5,1370,1321,1357.099976,1188.966064,3587864
22-09-2014,1357,1367,1338.125,1360.900024,1192.295166,999584
23-09-2014,1362,1391.224976,1341.650024,1344.099976,1177.57666,2055990
24-09-2014,1346.5,1353.474976,1316.375,1321.5,1157.776855,2442132
25-09-2014,1330.474976,1362.5,1330,1354.300049,1186.512939,2473158
26-09-2014,1355,1362.449951,1335.050049,1342,1175.736694,1612712
